,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
113,202404,PE,CONSULTORA,MASIVO,2388_2552_57528_57528,1,INDIVIDUAL,P0596048687,20,ACCESORIOS,B,ESIKA,BIJOUTERIE,21,BIJOUTERIE,106,ESTUCHES ARETES,0,0,,150.0,24.9,1.0,0.0,0.834,0.834,0.0,,,,
115,202306,PE,CONSULTORA,MASIVO,1279_1758_385379_385379,999,VOLUMEN,P0292092008,10,COSMETICOS,B,ESIKA,MAQUILLAJE,2,MAQUILLAJE,25,MASCARA,0,0,ES PRO MASC ICONO VOLUMEN 8G,56.0,23.9,1.0,13932.5,0.573214,0.573214,0.005074,ESIKA PRO,PARA OJOS,LIQUIDACIÓN,202406.0
117,202205,PE,CONSULTORA,MASIVO,2654_2810_289466_289466,3,SET,200072913,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES COMFORCE COL XPLASH 120ML,42.0,16.38,1.0,13.88,0.61,0.609836,8e-06,COMANDO FORCE,UNISEX,ACTIVO,198601.0
119,202209,PE,CONSULTORA,MASIVO,1202_1298_306850_306850,999,VOLUMEN,200099310,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,ES MEN COOL ICE 200ML,58.0,16.63,3.0,29868.6,0.713276,0.713276,0.017005,ESIKA MEN COOL ICE,MASCULINO,ACTIVO,202001.0
122,202314,PE,CONSULTORA,MASIVO,2804_3269_20774_20774,1,INDIVIDUAL,200051355,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES KALOS SPORT DESO 50ML,18.0,8.9,1.0,678.61,0.505556,0.50945,0.000665,KALOS SPORT/WINNER SPORT,DESODORANTES,Inactivo,
124,202218,PE,CONSULTORA,MASIVO,1332_1551_355892_355892,999,VOLUMEN,200043493,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES SALVAJE DESO 50ML,18.0,7.38,5.0,25716.58,0.59,0.5941,0.029877,SALVAJE,DESODORANTES,Inactivo,
126,202307,PE,CONSULTORA,MASIVO,3580_3741_393583_393583,3,SET,200056740,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES MINICHICS COL RUBI 120ML,46.0,17.94,1.0,212.81,0.61,0.609375,0.000101,MINI CHICS,NIÑOS-NIÑAS,,
127,202216,PE,CONSULTORA,MASIVO,3469_4320_347517_347517,3,SET,200091328,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES VIBRANZA 45ML,140.0,40.6,1.0,1892.52,0.71,0.71,0.0004,VIBRANZA,FEMENINO,ACTIVO,202001.0
131,202310,PE,CONSULTORA,MASIVO,3086_3359_408829_408829,1,INDIVIDUAL,200108045,10,COSMETICOS,B,ESIKA,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,ES IMPREDECIBLE CR MANOS 75G,40.0,11.9,1.0,3246.05,0.7025,0.7025,0.002335,IMPREDECIBLE,MANOS,ACTIVO,202117.0
134,202212,PE,CONSULTORA,MASIVO,3216_3333_324117_324117,2,SET,200056741,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES MINICHICS COL KELLY 120ML,44.0,15.22,1.0,451.5,0.654091,0.654032,0.000263,MINI CHICS,NIÑOS-NIÑAS,Inactivo,
136,202404,PE,CONSULTORA,MASIVO,931_1020_55956_55956,999,VOLUMEN,200043496,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES ITSYOU DESO 50ML,22.0,7.38,5.0,0.0,0.664545,0.669393,0.0,YOU / IT'S YOU,DESODORANTES,Inactivo,
137,202401,PE,CONSULTORA,MASIVO,2309_2443_40214_40214,3,SET,200058349,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES PULSO 100ML,168.0,45.13,1.0,6234.61,0.731369,0.726163,0.001335,PULSO,MASCULINO,ACTIVO,202105.0
138,202302,PE,CONSULTORA,MASIVO,2667_3135_367878_367878,2,SET,200039966,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,35,ESPECIFICOS,0,0,ES MULTI TALC PIES 500G,68.0,21.1,1.0,2878.68,0.689706,0.689865,0.00121,LINEA DE PIES,TALCOS,A DESCONTINUAR CONGELADO,202106.0
139,202207,PE,CONSULTORA,MASIVO,3377_3483_299995_299995,999,VOLUMEN,200098648,10,COSMETICOS,B,ESIKA,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,74,CUIDADO SOLAR,0,0,ES PERFECT BLOCK FACIAL 50ML,68.0,10.0,2.0,1508.55,0.852941,0.756211,0.001358,PERFECT BLOCK,PARA ROSTRO,A DESCONTINUAR BAJO ANALI,201918.0
141,202314,PE,CONSULTORA,MASIVO,1385_1624_18913_18913,999,VOLUMEN,200056246,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES EXPRESSION 50ML,100.0,25.99,2.0,29249.23,0.7401,0.745196,0.009806,EXPRESSION,DAMAS,,
142,202216,PE,CONSULTORA,MASIVO,2997_3848_346626_346626,1,INDIVIDUAL,P0596048070,20,ACCESORIOS,B,ESIKA,BIJOUTERIE,21,BIJOUTERIE,106,ESTUCHES ARETES,0,0,,80.0,34.9,1.0,7156.1,0.56375,0.56375,0.001762,,,,
145,202211,PE,CONSULTORA,MASIVO,3020_3138_318845_318845,1,INDIVIDUAL,200076632,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,ES MEN ACTIVE 200 ML,58.0,20.9,1.0,3187.86,0.639655,0.639655,0.001365,MEN,MASCULINO,INACTIVO,202215.0
148,202218,PE,CONSULTORA,MASIVO,1333_1554_355895_355895,999,VOLUMEN,200056617,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,234,DAMAS,0,0,ES EXPRESSION TALCO PERF 140G,36.0,11.65,6.0,28284.41,0.676389,0.676389,0.020812,EXPRESSION,TALCOS,INACTIVO,201401.0
149,202205,PE,CONSULTORA,MASIVO,2589_2745_289366_289366,2,SET,200096703,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,35,ESPECIFICOS,0,0,ES MULTI XTREME TALC PIES 120G,29.0,9.97,1.0,1115.4,0.656207,0.621519,0.001762,MULTICARE,TALCOS,ACTIVO,202109.0
151,202305,PE,CONSULTORA,MASIVO,3081_3980_382487_382487,2,SET,200040636,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES MERCI 50ML,95.0,30.36,1.0,180.11,0.680421,0.680403,5.2e-05,MERCI,DAMAS,INACTIVO,201401.0
153,202309,PE,CONSULTORA,MASIVO,3281_3996_405098_405098,999,VOLUMEN,200064292,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,72,FIJADOR,0,0,ES COMFORCE GEL 80G,36.0,14.4,2.0,97.64,0.6,0.6,6.1e-05,COMANDO FORCE,ARMADORES,INACTIVO,201401.0
154,202312,PE,CONSULTORA,MASIVO,1146_1202_10276_10276,999,VOLUMEN,200063934,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,234,DAMAS,0,0,ES IMAGENES TALCO PERF 140G,36.0,15.9,1.0,4970.59,0.558333,0.558333,0.002651,IMAGENES / L'IMAGE,TALCOS,INACTIVO,201401.0
157,202402,PE,CONSULTORA,MASIVO,1209_1273_42293_42293,999,VOLUMEN,200058353,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES PULSO DESO 50ML,18.0,8.9,1.0,3551.34,0.505556,0.517916,0.003753,PULSO,DESODORANTES,ACTIVO,202115.0
159,202307,PE,CONSULTORA,MASIVO,3580_3741_393582_393582,3,SET,200017521,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,235,CABALLEROS,0,0,ES SALVAJE TALCO PERF 140G,36.0,14.14,1.0,35.95,0.607222,0.609375,2.2e-05,SALVAJE,TALCOS,Inactivo,
162,202208,PE,CONSULTORA,MASIVO,2658_2799_303685_303685,3,SET,P0292090009,10,COSMETICOS,B,ESIKA,MAQUILLAJE,2,MAQUILLAJE,25,MASCARA,0,0,ES MASCARA MEGA FULL CURVE 8G,54.0,22.57,1.0,306.07,0.582037,0.778,0.000128,ESIKA,PARA OJOS,A DESCONTINUAR CONGELADO,202111.0
164,202303,PE,CONSULTORA,MASIVO,2873_3367_372234_372234,2,SET,200056740,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES MINICHICS COL RUBI 120ML,44.0,18.0,1.0,4178.57,0.590909,0.657714,0.002032,MINI CHICS,NIÑOS-NIÑAS,,
165,202314,PE,CONSULTORA,MASIVO,2816_3281_20799_20799,3,SET,200035116,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES AGU COL LAVANDA 1L,100.0,47.32,1.0,1323.3,0.5268,0.526842,0.000244,AGU SUEÑ LAVA/ UPA SUEÑ LAVA,BEBES UNISEX,INACTIVO,201401.0
168,202317,PE,CONSULTORA,MASIVO,1335_1423_30948_30948,999,VOLUMEN,200067116,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES TOTALSEC UNISEX DESO 50ML,18.0,7.38,5.0,6821.99,0.59,0.608894,0.007476,TOTAL SEC,DESODORANTES,INACTIVO,198601.0
169,202307,PE,CONSULTORA,MASIVO,4171_4946_394890_394890,999,VOLUMEN,200051232,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES D'ORSAY PARF 90 ML,160.0,44.9,3.0,22145.17,0.719375,0.719375,0.004217,D'ORSAY,MASCULINO,ACTIVO,201813.0
170,202216,PE,CONSULTORA,MASIVO,3309_4160_347194_347194,3,SET,200046326,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES EXPRESSION DESO 50ML,18.0,7.02,1.0,5.95,0.61,0.612941,7e-06,EXPRESSION,DESODORANTES,INACTIVO,201401.0
171,202402,PE,CONSULTORA,MASIVO,2540_2707_43857_43857,1,INDIVIDUAL,P0521700213,20,ACCESORIOS,B,ESIKA,RELOJES,22,RELOJES,219,ANÁLOGO,0,0,,185.0,74.5,1.0,2841.29,0.597297,0.597297,0.000359,,,,
