,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
5808,202306,PE,CONSULTORA,MASIVO,3434_4348_388383_388383,3,SET,200095669,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ DANCING NIGHT ROLL ON 50ML,18.0,7.92,1.0,20.13,0.56,0.568548,2.2e-05,DANCING NIGHT,DESODORANTES,ACTIVO,202115.0
5809,202404,PE,CONSULTORA,MASIVO,934_1027_55963_55963,999,VOLUMEN,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,25.9,1.0,0.0,0.568333,0.568333,0.0,PRINTS,DAMAS,INACTIVO,198601.0
5813,202213,PE,CONSULTORA,MASIVO,1297_1407_328099_328099,999,VOLUMEN,P0132051000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,91,POLVOS,0,0,CZ SL POLVOS COMPACTOS 7G,60.0,27.9,1.0,10496.16,0.535,0.55,0.004101,STUDIO LOOK,PARA ROSTRO,LIQUIDACION CON PLAN,202214.0
5818,202206,PE,CONSULTORA,MASIVO,2152_2288_293767_293767,2,SET,200105008,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING SUNSET EDP 90 ML,78.0,22.44,1.0,36118.42,0.712308,0.712832,0.014671,DANCING SUNSET,DAMAS,ACTIVO,202116.0
5819,202306,PE,CONSULTORA,MASIVO,1265_1706_385297_385297,999,VOLUMEN,200099083,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ NITRO AIR DES ROLLON 50 ML,18.0,7.38,5.0,11634.87,0.59,0.599879,0.013726,NITRO AIR,DESODORANTES,INACTIVO,202001.0
5825,202402,PE,CONSULTORA,MASIVO,1232_1362_42423_42423,999,VOLUMEN,200044012,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING 100ML,85.0,19.98,2.0,17234.08,0.764941,0.689931,0.008111,DANCING,DAMAS,INACTIVO,201401.0
5827,202307,PE,CONSULTORA,MASIVO,3614_3775_393644_393644,3,SET,P0132057001,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LL MATE 2G,38.0,11.27,1.0,2568.95,0.703421,0.703378,0.001949,STUDIO LOOK,PARA LABIOS,LIQUIDACIÓN,202105.0
5833,202318,PE,CONSULTORA,MASIVO,1331_1427_35051_35051,999,VOLUMEN,200095182,10,COSMETICOS,C,CYZONE,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,CZ MISS SEXY PROVOCAT CR 130ML,38.0,17.9,1.0,667.48,0.528947,0.528947,0.000318,MISS SEXY PROVOCATIVE,CUERPO,ACTIVO,202404.0
5845,202314,PE,CONSULTORA,MASIVO,1149_1351_18602_18602,1,INDIVIDUAL,200105035,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,58,ANTI ACNE,0,0,CZ SKINF CR TRATA PURIFICA 15G,34.0,13.9,1.0,8764.32,0.591176,0.591176,0.005494,SKIN FIRST,PARA ROSTRO,LIQUIDACION CON PLAN,202114.0
5846,202314,PE,CONSULTORA,MASIVO,2633_3098_20588_20588,1,INDIVIDUAL,P0509654309,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,243,BILLETERA,0,0,,73.0,32.9,1.0,10956.86,0.549315,0.549315,0.002902,,,,
5867,202217,PE,CONSULTORA,MASIVO,3298_3791_353204_353204,3,SET,210097538,10,COSMETICOS,C,CYZONE,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,CZ MYMO CR HIDRA VAINILL 240G,55.0,16.7,1.0,268.85,0.696364,0.696341,0.000133,CYZONE,CUERPO,LIQUIDACIÓN,202202.0
5872,202314,PE,CONSULTORA,MASIVO,1343_1545_18798_18798,2,SET,200105035,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,58,ANTI ACNE,0,0,CZ SKINF CR TRATA PURIFICA 15G,34.0,15.5,1.0,36723.1,0.544118,0.780506,0.020639,SKIN FIRST,PARA ROSTRO,LIQUIDACION CON PLAN,202114.0
5878,202402,PE,CONSULTORA,MASIVO,2454_2621_43713_43713,1,INDIVIDUAL,200105034,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,37,LIMPIADORA-DEMAQUILLADORA,0,0,CZ SKINF LIMP EXF PURIFIC 100G,43.0,18.9,1.0,2018.44,0.560465,0.555294,0.001004,SKIN FIRST,PARA ROSTRO,LIQUIDACION CON PLAN,202114.0
5885,202210,PE,CONSULTORA,MASIVO,3062_3179_313506_313506,1,INDIVIDUAL,P0521700099,20,ACCESORIOS,C,CYZONE,RELOJES,22,RELOJES,219,ANÁLOGO,0,0,,155.0,74.9,1.0,1332.88,0.516774,0.516774,0.000162,,,,
5886,202306,PE,CONSULTORA,MASIVO,3370_4284_388304_388304,2,SET,P0509654213,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,243,BILLETERA,0,0,,77.0,29.9,1.0,42672.52,0.611688,0.691975,0.012421,,,,
5887,202307,PE,CONSULTORA,MASIVO,4142_4782_394726_394726,999,VOLUMEN,200089168,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ SWEET BLACK 50ML,80.0,25.65,4.0,86.95,0.679375,0.679375,2.9e-05,SWEET BLACK,DAMAS,ACTIVO,201714.0
5893,202316,PE,CONSULTORA,MASIVO,2912_3087_28367_28367,2,SET,200111155,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ FLK GIRLINK EDT 50 ML,84.0,25.56,1.0,194.94,0.695714,0.695685,6.4e-05,GIRLINK CONNECTION,DAMAS,ACTIVO,202316.0
5896,202309,PE,CONSULTORA,MASIVO,3257_3897_404999_404999,999,VOLUMEN,200083615,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ FLIRTY GIRL SEXY 50ML,84.0,37.8,1.0,224.21,0.55,0.55,5.4e-05,FLIRTY GIRL SEXY,DAMAS,LIQUIDACIÓN,201601.0
5898,202209,PE,CONSULTORA,MASIVO,1165_1208_306714_306714,2,SET,200106357,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ AUTENTIK EDP 45 ML,84.0,29.9,1.0,35628.03,0.644048,0.661864,0.011038,AUTENTIK,DAMAS,ACTIVO,202210.0
5901,202403,PE,CONSULTORA,MASIVO,3280_3511_48431_48431,1,INDIVIDUAL,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,50.0,21.9,1.0,389.76,0.562,0.571788,0.000244,TRAX,DESODORANTES,ACTIVO,202113.0
5904,202214,PE,CONSULTORA,MASIVO,2854_2988_335334_335334,1,INDIVIDUAL,P0509654011,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,190,MOCHILA,0,0,,116.0,56.9,1.0,14562.44,0.509483,0.509483,0.002292,,,,
5907,202314,PE,CONSULTORA,MASIVO,1376_1583_18862_18862,999,VOLUMEN,200089182,10,COSMETICOS,C,CYZONE,FRAGANCIAS,12,MUESTRAS COSMETICOS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ SWEET BLACK PROB 2 ML,1.9,0.88,30.0,87.25,0.536842,0.536842,0.000864,SWEET BLACK,FRAGANCIAS,ACTIVO,201714.0
5911,202209,PE,CONSULTORA,MASIVO,3257_3373_308952_308952,1,INDIVIDUAL,P0772491955,40,HOGAR,C,CYZONE,HOGAR,34,HOGAR,610,BELLEZA,0,0,,62.0,19.9,1.0,438.36,0.679032,0.679032,0.000204,,,,
5913,202311,PE,CONSULTORA,MASIVO,2605_3147_8260_8260,2,SET,200039855,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ NITRO 100ML,86.0,28.0,1.0,21594.29,0.674419,0.635577,0.006875,NITRO,MASCULINO,ANTES DE APARECER (NUEVO),202417.0
5914,202209,PE,CONSULTORA,MASIVO,3419_3535_309124_309124,2,SET,200105079,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS XPERIENCE PARF 30ML,60.0,20.9,1.0,31913.63,0.651667,0.648235,0.014147,PRINTS XPERIENCE,DAMAS,ACTIVO,202201.0
5918,202307,PE,CONSULTORA,MASIVO,1369_1469_391316_391316,999,VOLUMEN,200097947,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ SWEET BLACK INTENSE 50ML,100.0,23.36,2.0,10293.4,0.7664,0.753506,0.004028,SWEET BLACK INTENSE,DAMAS,ACTIVO,201912.0
5924,202316,PE,CONSULTORA,MASIVO,3392_3579_29062_29062,999,VOLUMEN,200111155,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ FLK GIRLINK EDT 50 ML,84.0,19.99,5.0,30576.93,0.762024,0.758523,0.012759,GIRLINK CONNECTION,DAMAS,ACTIVO,202316.0
5928,202317,PE,CONSULTORA,MASIVO,1284_1363_30869_30869,2,SET,200099083,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ NITRO AIR DES ROLLON 50 ML,18.0,6.74,1.0,4425.27,0.625556,0.625352,0.00531,NITRO AIR,DESODORANTES,INACTIVO,202001.0
5931,202403,PE,CONSULTORA,MASIVO,3358_3589_48751_48771,3,SET,P0132053000,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,CZ SL LABIAL MATE 6ML,38.0,9.48,1.0,16.75826086957,0.750526,0.752258,2.4e-05,STUDIO LOOK,PARA LABIOS,LIQUIDACIÓN,202303.0
5932,202317,PE,CONSULTORA,MASIVO,1288_1367_30873_30873,2,SET,200097895,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,44,MASCARILLA FACIAL,0,0,CZ SKIN FIRST MASCARILL SA 2UN,18.0,0.0,1.0,0.0,1.0,0.713846,0.008168,SKIN FIRST,PARA ROSTRO,LIQUIDACION CON PLAN,201916.0
5935,202308,PE,CONSULTORA,MASIVO,4152_4309_4251_4251,999,VOLUMEN,200102063,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,382,MULTIFUNCIONAL,0,0,CZ SL PALETA CHEEK&EYES 10.5G,84.0,37.8,1.0,768.73,0.55,0.55,0.000175,STUDIO LOOK,MIXTO,LIQUIDACIÓN,202105.0
5937,202217,PE,CONSULTORA,MASIVO,1420_1472_350811_350811,999,VOLUMEN,200106360,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ NITRO ULTIMATE EDP 90 ML,97.0,39.98,5.0,2405.49,0.587835,0.751291,0.000497,NITRO ULTIMATE,CABALLEROS,ACTIVO,202214.0
5938,202403,PE,CONSULTORA,MASIVO,1392_1561_46422_46422,999,VOLUMEN,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,14.48,4.0,11386.61,0.758667,0.758667,0.010794,PRINTS,DAMAS,INACTIVO,198601.0
5941,202307,PE,CONSULTORA,MASIVO,1323_1380_391187_391187,2,SET,200097947,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ SWEET BLACK INTENSE 50ML,100.0,29.9,1.0,26277.58,0.701,0.722917,0.00752,SWEET BLACK INTENSE,DAMAS,ACTIVO,201912.0
5943,202316,PE,CONSULTORA,MASIVO,1195_1253_26536_26536,2,SET,P0602155112,50,APOYO,C,CYZONE,PROMOCIONES DE 3ROS,72,PROMOCION USUARIOS,33,BOLSA,1,0,,5.0,1.62,1.0,1425.08,0.676,0.675194,0.007351,,,,
5957,202206,PE,CONSULTORA,MASIVO,2152_2288_293767_293767,2,SET,200042737,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ IN LOVE 50ML,74.0,21.23,1.0,34163.03,0.713108,0.712832,0.014671,IN LOVE,DAMAS,LIQUIDACIÓN,201903.0
5960,202302,PE,CONSULTORA,MASIVO,2808_3276_368047_368047,3,SET,200101481,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,13,COLONIA DE BAÑO,0,0,CZ UVA KISS COL 200 ML,49.0,16.93,1.0,430.49,0.65449,0.654455,0.000226,UVA KISS,FAMILIAR BAÑO,A DESCONTINUAR CONGELADO,202107.0
5972,202311,PE,CONSULTORA,MASIVO,973_1171_6283_6283,1,INDIVIDUAL,P0509654272,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,190,MOCHILA,0,0,,116.0,49.9,1.0,159602.3,0.569828,0.569828,0.027226,,,,
